,Timestamp,Presion descanso PV,Presion descanso LL,Presion descanso HL,Potencia PV,Potencia HL,Potencia DSHL,Corriente PV,Corriente HL,Corriente DSHL,Tonelaje HL,Tonelaje SP,Tonelaje PV,Velocidad HL,Velocidad SP,Velocidad PV,% Solidos HL,% Solidos LL,% Solidos SP,% Solidos PV,% Gruesos,% Intermedios,% Finos,Controller Mode,Status Feeder 1,Status Feeder 2,Status Feeder 3,Status Feeder 4,Status Feeder 5,Status Feeder 6,Tonelaje OP
0,2023-01-31 00:00:00,5433.9921875,5350,5500,7640,12000,11800,1535.149169921875,2130,2110,2500,2496.123046875,2309.01904296875,9.800000190734863,8.249985694885254,8.239999771118164,72,71,71.35985565185547,71.57884216308594,11.493614196777344,20.413787841796875,68.09259796142578,1,1,1,0,1,1,0,84.41852569580078
1,2023-01-31 00:00:15,5433.7578125,5350,5500,7640,12000,11800,1533.38427734375,2130,2110,2500,2498.63037109375,2303.9189453125,9.800000190734863,8.25998592376709,8.25,72,71,71.3298568725586,71.51248168945312,5.6452178955078125,15.22222900390625,79.13255310058594,1,1,1,0,1,1,0,84.7823257446289
2,2023-01-31 00:00:30,5434.46728515625,5350,5500,7720,12000,11800,1537.6229248046875,2130,2110,2500,2499.523193359375,2298.21044921875,9.800000190734863,8.25998592376709,8.239999771118164,72,71,71.29985809326172,71.35997772216797,7.437873840332031,17.929794311523438,74.63233184814453,1,1,1,0,1,1,0,85.41458892822266
3,2023-01-31 00:00:45,5436.724609375,5350,5500,7780,12000,11800,1547.1358642578125,2130,2110,2500,2499.8349609375,2299.080078125,9.800000190734863,8.269986152648926,8.260000228881836,72,71,71.26985931396484,71.2916488647461,15.066162109375,19.940879821777344,64.99295806884766,1,1,1,0,1,1,0,86.43433380126953
4,2023-01-31 00:01:00,5437.13525390625,5350,5500,7840,12000,11800,1551.6785888671875,2130,2110,2500,2499.94287109375,2301.146728515625,9.800000190734863,8.289986610412598,8.279999732971191,72,71,71.23986053466797,71.41417694091797,13.210182189941406,24.57183074951172,62.217987060546875,1,1,1,0,1,1,0,87.6941909790039
5,2023-01-31 00:01:15,5435.89208984375,5350,5500,7720,12000,11800,1544.179443359375,2130,2110,2500,2499.980224609375,2298.07568359375,9.800000190734863,8.299986839294434,8.289999961853027,72,71,71.21986389160156,71.32537841796875,0.0,10.394126892089844,89.60587310791016,1,1,1,0,1,1,0,88.71229553222656
6,2023-01-31 00:01:30,5435.1181640625,5350,5500,7670,12000,11800,1544.5634765625,2130,2110,2500,2499.9931640625,2300.697998046875,9.800000190734863,8.30998706817627,8.270000457763672,72,71,71.19986724853516,71.56233978271484,13.707473754882812,22.612045288085938,63.68048095703125,1,1,1,0,1,1,0,89.32814025878906
7,2023-01-31 00:01:45,5435.62060546875,5350,5500,7640,12000,11800,1535.2974853515625,2130,2110,2500,2499.99755859375,2308.918212890625,9.800000190734863,8.349987030029297,8.3100004196167,72,71,71.17987060546875,71.22574615478516,10.738967895507812,23.22588348388672,66.03514862060547,1,1,1,0,1,1,0,89.57404327392578
8,2023-01-31 00:02:00,5435.97705078125,5350,5500,7750,12000,11800,1539.65673828125,2130,2110,2500,2499.999267578125,2334.275634765625,9.800000190734863,8.379986763000488,8.34000015258789,72,71,71.17987060546875,71.40545654296875,21.79035186767578,18.370376586914062,59.839271545410156,1,1,1,0,1,1,0,89.69432067871094
9,2023-01-31 00:02:15,5436.44970703125,5350,5500,7770,12000,11800,1537.254150390625,2130,2110,2500,2499.999755859375,2372.30859375,9.800000190734863,8.389986991882324,8.369999885559082,72,71,71.16986846923828,71.8674087524414,12.243026733398438,12.218856811523438,75.53811645507812,1,1,1,0,1,1,0,89.69432067871094
10,2023-01-31 00:02:30,5435.98779296875,5350,5500,7870,12000,11800,1546.59326171875,2130,2110,2500,2500.0,2416.308349609375,9.800000190734863,8.39998722076416,8.380000114440918,72,71,71.16986846923828,71.87090301513672,15.878799438476562,21.71978759765625,62.40141296386719,1,1,1,0,1,1,0,89.69432067871094
11,2023-01-31 00:02:45,5435.32666015625,5350,5500,7800,12000,11800,1544.181884765625,2130,2110,2500,2500.0,2432.945556640625,9.800000190734863,8.409987449645996,8.380000114440918,72,71,71.16986846923828,72.01081848144531,9.591758728027344,19.204254150390625,71.20398712158203,1,1,1,0,1,1,0,89.69432067871094
12,2023-01-31 00:03:00,5436.111328125,5350,5500,7750,12000,11800,1533.2918701171875,2130,2110,2500,2500.0,2449.7216796875,9.800000190734863,8.419987678527832,8.40999984741211,72,71,71.15986633300781,72.22704315185547,12.510612487792969,25.05707550048828,62.43231201171875,1,1,1,0,1,1,0,89.69432067871094
13,2023-01-31 00:03:15,5437.26611328125,5400,5550,7760,12000,11800,1516.0826416015625,2130,2110,2500,2500.0,2460.6171875,9.800000190734863,8.419987678527832,8.40999984741211,72,71,71.15986633300781,72.10831451416016,10.218040466308594,24.536590576171875,65.24536895751953,1,1,1,0,1,1,0,89.69432067871094
14,2023-01-31 00:03:30,5438.88134765625,5400,5550,7710,12000,11800,1516.049560546875,2130,2110,2500,2500.0,2474.462890625,9.800000190734863,8.419987678527832,8.40999984741211,72,71,71.15986633300781,72.22018432617188,20.77484130859375,27.186046600341797,52.03911209106445,1,1,1,0,1,1,0,89.69432067871094
15,2023-01-31 00:03:45,5439.93603515625,5400,5550,7860,12000,11800,1527.109619140625,2130,2110,2500,2500.0,2481.327880859375,9.800000190734863,8.419987678527832,8.399999618530273,72,71,71.15986633300781,72.13545989990234,12.368789672851562,23.472572326660156,64.15863800048828,1,1,1,0,1,1,0,89.69432067871094
